,usim,manufacturer,latitude,longitude,address,facility_type,floor,notice,geometry,sigungu
2704,01232971699,엔티모아,34.472,126.752,전남 강진군 신전면 사초리 1-22,SKT1,[지상] 1층/1층층,사초출장소,POINT (931307.5149271231 1608931.197585227),강진군
2705,01232971531,엔티모아,38.078,128.672,강원 양양군 손양면 수산리 89-8,SKT1,[지상] 1층/1층층,수산출장소,POINT (1102791.1186577005 2009302.748627606),양양군
2706,01232972185,엔티모아,34.926,128.064,경남 사천시 서동 322-68,SKT1,[지상] 1/1층,삼천포출장소,POINT (1051512.5127264105 1659166.9325718698),0
2707,01232971855,엔티모아,36.081,126.625,마서면 송신로 636,SKT1,[지상] 1/1층,송석출장소,POINT (921218.1077245491 1787471.8723130869),서천군
2708,01232971720,엔티모아,37.377,129.253,강원 삼척시 근덕면 덕산해안로 200-29,SKT1,[지상] 1층/1층층,덕산출장소,POINT (1155208.0330045565 1932322.1372239836),삼척시
2709,01232973222,엔티모아,36.675,126.136,충남 태안군 근흥면 신진도리 75-13,SKT2,[지상] 1/1층,신진파출소,POINT (878118.7403586798 1853871.6357851843),태안군
2710,01232971735,엔티모아,38.155,128.609,동해대로3582,SKT1,[지상] 1층/1층층,물치출장소,POINT (1097163.3948568976 2017778.769476824),양양군
2711,01232971740,엔티모아,38.171,128.607,강원 속초시 대포동 968-4,SKT2,[지상] 1층/2층층,대포출장소,POINT (1096966.9650751816 2019552.0374922534),속초시
2712,01232972294,엔티모아,35.108,128.926,부산 명지동,SKT2,[지상] 1/3층,명지파출소,POINT (1129958.2350354644 1680135.1522599936),강서구
2713,01232972793,엔티모아,36.131,126.502,충남 서천군 서면 마량리 356-1,SKT2,[지상] 1/1층,,POINT (910200.2323238957 1793124.5769986094),서천군
2714,01232971724,엔티모아,38.326,128.528,강원 고성군 죽왕면 오호리 29-31,SKT1,[지상] 1/1층,거진파출소(송지호출장소),POINT (1089855.7696661747 2036671.3017692347),고성군
2715,01232971729,엔티모아,38.38,128.467,강원 고성군 간성읍 하리 12,SKT1,[지상] 1층/1층층,거진파출소(공현진출장소),POINT (1084460.9825797204 2042605.7011920717),고성군
